cxl 200
cxl 255
cxl 260
cxl 270
cxl 300
cxl 315
cxl 340
cxl 400

lgt 300

std  60
std 195
std 210
std 240
std 260
std 270
std 300
std 340

 xl 240
 xl 280
 xl 300
 xl 380


type	ton	cbill	type	ton	cbill	heatsink
std-100	1	613133	xl-100	0.5	1632833	4
std-105	2.5	643800	xl-105	--	1714500	4
std-110	2.5	647467	xl-110	--	1796167	4
std-115	3	705133	xl-115	--	1877833	4
std-120	3	735800	xl-120	1	1959500	4
std-125	4	766500	xl-125	2	2041250	5
std-130	4.5	797167	xl-130	--	2122917	5
std-135	4.5	827833	xl-135	--	2204583	5
std-140	5	858500	xl-140	--	2286250	5
std-145	5	889167	xl-145	2.5	2365917	5
std-150	6.5	919867	xl-150	--	2449667	6
std-155	6.5	950533	xl-155	--	2531333	6
std-160	7	981200	xl-160	--	2613000	6
std-165	7	1011867	xl-165	--	2694667	6
std-170	7	1042533	xl-170	4	2776333	6
std-175	9	1073233	xl-175	--	2858083	7
std-180	9	1103900	xl-180	5.5	2939750	7
std-185	9.5	1134567	xl-185	--	3021417	7
std-190	9.5	1165233	xl-190	--	3103083	7
std-195	10	1195900	xl-195	6	3184750	7

std-200	11.5	1226600	xl-200	7.5	3266500	8
std-205	12.5	1257267	xl-205	--	3348167	8
std-210	13	1287933	xl-210	8.5	3429833	8
std-215	13.5	1318600	xl-215	--	3511500	8
std-220	14	1349267	xl-220	9	3593167	8
std-225	15	1379967	xl-225	10	3674917	9
std-230	15.5	1410633	xl-230	--	3756583	9
std-235	16	1441300	xl-235	10.5	3838250	9
std-240	16.5	1471967	xl-240	--	3919917	9
std-245	17	1502633	xl-245	11	4001583	9
std-250	18.5	1533333	xl-250	--	4083333	10
std-255	19	1564000	xl-255	12.5	4165000	10
std-260	19.5	1594667	xl-260	--	4246667	10
std-265	20	1625333	xl-265	13	4328333	10
std-270	20.5	1656000	xl-270	13.5	4410000	10
std-275	21.5	1686667	xl-275	--	4491667	10 +1
std-280	22	1717333	xl-280	14	4573333	10 +1
std-285	22.5	1748000	xl-285	14.5	4655000	10 +1
std-290	23.5	1778667	xl-290	--	4736667	10 +1
std-295	24	1809333	xl-295	15	4818333	10 +1

std-300	25	1840000	xl-300	15.5	4900000	10 +2
std-305	26.5	1870667	xl-305	17	4981667	10 +2
std-310	27.5	1907333	xl-310	17.5	5063333	10 +2
std-315	28.5	1932000	xl-315	18	5145000	10 +2
std-320	29.5	1962667	xl-320	18.5	5226667	10 +2
std-325	30.5	1993333	xl-325	19	5308333	10 +3
std-330	31.5	2024000	xl-330	19.5	5390000	10 +3
std-335	32.5	2054667	xl-335	20	5471667	10 +3
std-340	34	2085333	xl-340	20.5	5553333	10 +3
std-345	35.5	2116000	xl-345	21.5	5635000	10 +3
std-350	36.5	2146667	xl-350	22	5716667	10 +4
std-355	38.5	2177333	xl-355	23	5798333	10 +4
std-360	40	2208000	xl-360	23.5	5880000	10 +4
std-365	41.5	2238667	xl-365	24.5	5961667	10 +4
std-370	43.5	2269333	xl-370	25.5	6043333	10 +4
std-375	45.5	2300000	xl-375	26.5	6125000	10 +5
std-380	48	2330667	xl-380	27.5	6206667	10 +5
std-385	50.5	2361333	xl-385	29	6288333	10 +5
std-390	53	2392000	xl-390	30	6370000	10 +5
std-395	56	2422667	xl-395	31.5	6451667	10 +5
std-400	59.5	2453333	xl-400	33.5	6533333	10 +6
