sort-key	name	mech-tons	engine-default	left arm	left torso	center	right torso	right arm	head	jj	ecm	masc	engines	hardpoints	torso/arm	costs	mechfilter-faction	mechfilter-variant	mechfilter-family	mechfilter-type	default-engine	engine-speedtweak	engine-min	engine-max
clan.arcticcheetah.ach-prime	ach-prime	30	xl 240	1 e 1 m (10)	1 ecm 1 e		1 e	1 e 1 m (10)		6			xl 240	4 0 2	110 / 30 30 / 30	3,095 7,737,456	clan	291	arcticcheetah	normal	240	0	240	240
clan.arcticcheetah.ach-prime(c) champion	ach-prime(c) champion	30	xl 240	2 e	1 ecm 1 e		1 e	2 e		6			xl 240	6 0 0	110 / 30 30 / 30	3,870	clan	351	arcticcheetah	champion	240	0	240	240
clan.arcticwolf.acw-a	acw-a	40	xl 240	1 e 1 m (10)	1 ams 1 m (10)		1 ecm 1 m (10)	1 e 1 m (10)					xl 240	2 0 4	130 / 30 25 / 30	n/a	clan	624	arcticwolf	normal	240	0	240	240
clan.blacklanner.bkl-a	bkl-a	55	xl 385	2 e	1 e		1 ams	1 e	1 ecm				xl 385	4 0 0	125 / 0 25 / 30	n/a	clan	664	blacklanner	normal	385	0	385	385
clan.blacklanner.bkl-prime	bkl-prime	55	xl 385	2 e	1 m (20)		1 m (20)	1 e	1 ecm				xl 385	3 0 2	125 / 0 25 / 30	n/a	clan	663	blacklanner	normal	385	0	385	385
clan.bloodasp.bas-a	bas-a	90	xl 360	2 e		1 ecm		2 e					xl 360	4 0 0	80 / 20 20 / 20	n/a	clan	706	bloodasp	normal	360	0	360	360
clan.bloodasp.bas-b	bas-b	90	xl 360	1 m (20)	4 e	1 ecm	1 b	1 m (20)					xl 360	4 1 2	80 / 20 20 / 20	n/a	clan	707	bloodasp	normal	360	0	360	360
clan.cougar.cou-h	cou-h	35	xl 175	1 b				3 e	1 ecm				xl 175	3 1 0	120 / 40 20 / 30	n/a	clan	577	cougar	normal	175	0	175	175
clan.hellbringer.hbr-f(c) champion	hbr-f(c) champion	65	xl 325	1 b 1 e	1 ecm 3 e		1 e 1 m (20)	1 b 1 e	1 e				xl 325	7 2 1	90 / 20 20 / 30	n/a	clan	532	hellbringer	champion	325	0	325	325
clan.hellbringer.hbr-prime	hbr-prime	65	xl 325	1 e	1 ecm 3 e		2 b 1 m (20)	1 e	1 ams				xl 325	5 2 1	90 / 20 20 / 30	5,480 13,695,385	clan	230	hellbringer	normal	325	0	325	325
clan.iceferret.ifr-p	ifr-p	45	xl 360	1 e 1 m (20)		1 ecm	1 e	2 e					xl 360	4 0 1	135 / 25 20 / 25	n/a	clan	597	iceferret	normal	360	0	360	360
clan.iceferret.rainbow crow hero	rainbow crow hero	45	xl 360	2 e		1 ecm	1 m (20)	1 b					xl 360	2 1 1	135 / 25 20 / 25	n/a	clan	588	iceferret	hero	360	0	360	360
