sort-key	name	mech-tons	engine-default	left arm	left torso	center	right torso	right arm	head	jj	ecm	masc	engines	hardpoints	torso/arm	costs	mechfilter-faction	mechfilter-variant	mechfilter-family	mechfilter-type	default-engine	engine-speedtweak	engine-min	engine-max
clan.cougar.blood adder hero	blood adder hero	35	xl 175	1 m (20)	1 b		1 b	1 m (20)	1 ams				xl 175	0 2 2	120 / 40 20 / 30	n/a	clan	578	cougar	hero	175	0	175	175
clan.cougar.cou-c	cou-c	35	xl 175	1 b				4 e	1 e				xl 175	5 1 0	120 / 40 20 / 30	n/a	clan	574	cougar	normal	175	0	175	175
clan.cougar.cou-d	cou-d	35	xl 175	1 e	1 m (20)		1 m (20)	1 b					xl 175	1 1 2	120 / 40 20 / 30	n/a	clan	575	cougar	normal	175	0	175	175
clan.cougar.cou-e	cou-e	35	xl 175	1 m (20)	1 e		1 e	1 m (20)	1 e				xl 175	3 0 2	120 / 40 20 / 30	n/a	clan	576	cougar	normal	175	0	175	175
clan.cougar.cou-h	cou-h	35	xl 175	1 b				3 e	1 ecm				xl 175	3 1 0	120 / 40 20 / 30	n/a	clan	577	cougar	normal	175	0	175	175
clan.cougar.cou-prime	cou-prime	35	xl 175	1 e	1 ams 1 m (20)		1 m (20)	1 e					xl 175	2 0 2	120 / 40 20 / 30	n/a	clan	573	cougar	normal	175	0	175	175
clan.mistlynx.ebon dragoon hero	ebon dragoon hero	25	xl 175	2 m (12, 10)			2 e	2 e		6			xl 175	4 0 2	120 / 20 30 / 30	n/a	clan	586	mistlynx	hero	175	0	175	175
clan.mistlynx.mlx-a	mlx-a	25	xl 175	2 ams 1 e				2 b 1 e		6			xl 175	2 2 0	120 / 20 30 / 30	2,325 5,810,750	clan	266	mistlynx	normal	175	0	175	175
clan.mistlynx.mlx-b	mlx-b	25	xl 175	2 e				1 e 2 m (10x2)		6			xl 175	3 0 2	120 / 20 30 / 30	2,390 5,964,046	clan	226	mistlynx	normal	175	0	175	175
clan.mistlynx.mlx-c	mlx-c	25	xl 175	1 ecm 1 ams				2 e		6			xl 175	2 0 0	120 / 20 30 / 30	2,565 6,409,546	clan	227	mistlynx	normal	175	0	175	175
clan.mistlynx.mlx-d	mlx-d	25	xl 175	1 b				2 e		6			xl 175	2 1 0	120 / 20 30 / 30	2,270 5,671,096	clan	306	mistlynx	normal	175	0	175	175
clan.mistlynx.mlx-g	mlx-g	25	xl 175	4 b 1 e			2 e	4 b 1 e		6			xl 175	4 8 0	120 / 20 30 / 30	n/a	clan	595	mistlynx	normal	175	0	175	175
clan.mistlynx.mlx-prime	mlx-prime	25	xl 175	1 m (10)				2 b 1 m (10)		6			xl 175	0 2 2	120 / 20 30 / 30	2,295 5,732,606	clan	225	mistlynx	normal	175	0	175	175
clan.mistlynx.mlx-prime(c) champion	mlx-prime(c) champion	25	xl 175	2 e				2 e		6			xl 175	4 0 0	120 / 20 30 / 30	2,870	clan	401	mistlynx	champion	175	0	175	175
clan.kitfox.kfx-c	kfx-c	30	xl 180	2 b 2 e				1 ecm 3 ams 1 e					xl 180	3 2 0	120 / 40 20 / 30	2,725 6,810,335	clan	264	kitfox	normal	180	0	180	180
clan.kitfox.kfx-d	kfx-d	30	xl 180	2 m (20, 15)				2 m (20, 15)					xl 180	0 0 4	120 / 40 20 / 30	2,380 5,949,429	clan	176	kitfox	normal	180	0	180	180
clan.kitfox.kfx-g	kfx-g	30	xl 180	1 ecm	1 m (15)		1 m (20)	2 e					xl 180	2 0 2	120 / 40 20 / 30	n/a	clan	672	kitfox	normal	180	0	180	180
clan.kitfox.kfx-g(l) special	kfx-g(l) special	30	xl 180	1 ecm	1 m (15)		1 m (20)	2 e					xl 180	2 0 2	120 / 40 20 / 30	n/a	clan	646	kitfox	special	180	0	180	180
clan.kitfox.kfx-prime	kfx-prime	30	xl 180	2 e				1 b 1 m (20)					xl 180	2 1 1	120 / 40 20 / 30	2,405 6,008,129	clan	175	kitfox	normal	180	0	180	180
clan.kitfox.kfx-s	kfx-s	30	xl 180	1 e 1 m (20)	1 b		1 b	2 e					xl 180	3 2 1	120 / 40 20 / 30	2,340 5,848,129	clan	177	kitfox	normal	180	0	180	180
